service_id,program_type,total_price,program_desc,per_session_price,monthly_price
shiftai,1,"29,800","基礎コース","2,800",
shiftai,2,"98,000","実践5案件","31,900","3,990"
shiftai,3,"78,000","集中5テーマ","15,600","2,130"
shiftai,4,"75,000","腕5回","15,000","2,050"
shiftai,5,"105,000","脚5回","21,000","2,870"
dmmai,1,"34,800","基礎コース","3,200",
dmmai,2,"148,000","実践5案件","29,600","4,040"
dmmai,3,"88,000","集中5テーマ","17,600","2,400"
dmmai,4,"85,000","腕5回","17,000","2,320"
dmmai,5,"115,000","脚5回","23,000","3,140"
samuraiai,1,"24,800","基礎コース","2,480",
samuraiai,2,"198,000","実践5案件","39,600","5,410"
samuraiai,3,"168,000","集中5テーマ","33,600","4,590"
samuraiai,4,"148,000","腕5回","29,600","4,050"
samuraiai,5,"188,000","脚5回","37,600","5,140"
