service_id,service_name,logo_path,tab_index,col_index,cell_type,icon,value1,value1_color,value2,effect,effect_color,feature
shiftai,SHIFT AI,img/logo/shiftai.webp,0,1,value,ic_shape1.svg,"29,800円",red,基礎コース,,,
shiftai,SHIFT AI,img/logo/shiftai.webp,0,2,effect,ic_shape1.svg,,,,かなり<br>高い,red,
shiftai,SHIFT AI,img/logo/shiftai.webp,0,3,feature,,,,,,,"圧倒的な実績のAI副業"
dmmai,DMM 生成AICAMP,img/logo/dmmai.webp,0,1,value,ic_shape2.svg,"39,800円",black,実践コース,,,
dmmai,DMM 生成AICAMP,img/logo/dmmai.webp,0,2,effect,ic_shape1.svg,,,,かなり<br>高い,black,
dmmai,DMM 生成AICAMP,img/logo/dmmai.webp,0,3,feature,,,,,,,いつでも解約できる<span>特別返金保証</span>
samuraiai,侍エンジニア,img/logo/samuraiai.webp,0,1,value,ic_shape2.svg,"24,800円",black,基礎コース,,,
samuraiai,侍エンジニア,img/logo/samuraiai.webp,0,2,effect,ic_shape2.svg,,,,高い,black,
samuraiai,侍エンジニア,img/logo/samuraiai.webp,0,3,feature,,,,,,,1人1人に合わせた<span>質の高いレッスン</span>
shiftai,SHIFT AI,img/logo/shiftai.webp,1,1,value,ic_shape1.svg,24時間,red,対応,,,,
shiftai,SHIFT AI,img/logo/shiftai.webp,1,2,effect,ic_shape1.svg,,,,オンライン<br>+通学,black,
shiftai,SHIFT AI,img/logo/shiftai.webp,1,3,effect,ic_shape1.svg,,,,30日間<br>全額返金,red,
dmmai,DMM 生成AICAMP,img/logo/dmmai.webp,1,1,value,ic_shape2.svg,個別,black,メンター,,,,
dmmai,DMM 生成AICAMP,img/logo/dmmai.webp,1,2,effect,ic_shape2.svg,,,,オンライン<br>完結,black,
dmmai,DMM 生成AICAMP,img/logo/dmmai.webp,1,3,effect,ic_shape2.svg,,,,14日間<br>全額返金,black,
samuraiai,侍エンジニア,img/logo/samuraiai.webp,1,1,value,ic_shape2.svg,コミュニティ,black,サポート,,,,
samuraiai,侍エンジニア,img/logo/samuraiai.webp,1,2,effect,ic_shape2.svg,,,,オンライン<br>完結,black,
samuraiai,侍エンジニア,img/logo/samuraiai.webp,1,3,effect,ic_shape1.svg,,,,30日間<br>全額返金,black,
shiftai,SHIFT AI,img/logo/shiftai.webp,2,1,value,ic_shape1.svg,"10,000人",red,以上,,,
shiftai,SHIFT AI,img/logo/shiftai.webp,2,2,value,ic_shape1.svg,85%,red,,,,
shiftai,SHIFT AI,img/logo/shiftai.webp,2,3,value,ic_shape1.svg,98%,red,,,,
dmmai,DMM 生成AICAMP,img/logo/dmmai.webp,2,1,value,ic_shape2.svg,"8,000人",black,以上,,,
dmmai,DMM 生成AICAMP,img/logo/dmmai.webp,2,2,value,ic_shape2.svg,82%,black,,,,
dmmai,DMM 生成AICAMP,img/logo/dmmai.webp,2,3,value,ic_shape1.svg,96%,black,,,,
samuraiai,侍エンジニア,img/logo/samuraiai.webp,2,1,value,ic_shape2.svg,"5,000人",black,以上,,,
samuraiai,侍エンジニア,img/logo/samuraiai.webp,2,2,value,ic_shape2.svg,78%,black,,,,
samuraiai,侍エンジニア,img/logo/samuraiai.webp,2,3,value,ic_shape2.svg,94%,black,,,,
