type,SHIFT AI,DMM 生成AICAMP,侍エンジニア,,,,,,
type1_img,,,,,,,,,
type1_name,AI大学,基礎マスターコース<br>（4週間）,生成AI基礎実践コース<br>（4週間）,,,,,,
type1_price,<tag_r>ChatGPT<tag_r>画像生成<tag_r>動画制作<tag_r>文章作成<tag_r>資料作成<tag_r>副業<tag_r>業務効率<tag_r>ｱﾌﾟﾘ開発,<tag_r>ChatGPT<tag_r>文章作成<tag_r>資料作成<tag_r>業務効率,<tag_r>ChatGPT<tag_r>文章作成<tag_r>資料作成<tag_r>業務効率,,,,,,
type1_session,"547,800円<br><br>(買い切り)","198,000円","198,000円",,,,,,
type1_monthly,"21,780円<br><br>(月払い)","17,400円〜","4,917円〜",,,,,,
type2_img,,,,,,,,,
type2_name,,基礎マスターコース<br>（8週間）,生成AIマーケティング実践コース<br>（8週間）,,,,,,
type2_price,,<tag_r>ChatGPT<tag_r>文章作成<tag_r>資料作成<tag_r>業務効率,<tag_r>ChatGPT<tag_r>文章作成<tag_r>資料作成<tag_r>業務効率<tag_r>ﾏｰｹﾃｨﾝｸﾞ,,,,,,
type2_session,,"247,500円","298,000円",,,,,,
type2_monthly,,"21,780円〜","7,401円〜",,,,,,
type3_img,,,,,,,,,
type3_name,,基礎マスター＋職業別コース<br>（6週間）,副業スタートコース<br>（12週間）,,,,,,
type3_price,,<tag_r>ChatGPT<tag_r>文章作成<tag_r>資料作成<tag_r>業務効率<tag_r>+専門スキル,<tag_r>ChatGPT<tag_r>文章作成<tag_r>資料作成<tag_r>業務効率<tag_r>+専門スキル,,,,,,
type3_session,,"297,000円","297,000円",,,,,,
type3_monthly,,"26,200円〜","7,376円〜",,,,,,
type4_img,,,,,,,,,
type4_name,,基礎マスター＋職業別コース<br>（10週間）,副業実践コース<br>（18週間）,,,,,,
type4_price,,<tag_r>ChatGPT<tag_r>文章作成<tag_r>資料作成<tag_r>業務効率<tag_r>+専門スキル,<tag_r>ChatGPT<tag_r>文章作成<tag_r>資料作成<tag_r>業務効率<tag_r>+専門スキル,,,,,,
type4_session,,"346,500円","522,500円",,,,,,
type4_monthly,,"30,600円〜","12,926円〜",,,,,,
type5_img,,,,,,,,,
type5_name,,生成AIエンジニアコース<br>（16週間）,生成AI ×WEB副業コース<br>（24週間）,,,,,,
type5_price,,<tag_r>ChatGPT<tag_r>文章作成<tag_r>資料作成<tag_r>業務効率<tag_r>ｱﾌﾟﾘ開発,<tag_r>ChatGPT<tag_r>文章作成<tag_r>資料作成<tag_r>業務効率<tag_r>+専門スキル,,,,,,
type5_session,,"498,000円","638,000円",,,,,,
type5_monthly,,"43,900円〜","26,583円〜",,,,,,
